Time,Balance Before,Balance After,Profit,Action
2022-07-07 17:34:29,1 225.53,1 232.84,+7.31,"Close short position for symbol BYBIT:APEUSDT at price 5.075 for 120 shares. Position AVG Price was 5.136000, currency: USDT, rate: 0.999180, last updated rate on 2022-07-07T15:15:54Z, point value: 1.000000"
2022-07-07 16:54:50,1 230.32,1 225.53,-4.80,"Close short position for symbol BYBIT:APEUSDT at price 5.138 for 240 shares. Position AVG Price was 5.118000, currency: USDT, rate: 0.999090, last updated rate on 2022-07-07T14:16:13Z, point value: 1.000000"
2022-07-07 15:24:09,1 228.71,1 230.32,+1.62,"Close short position for symbol BYBIT:APEUSDT at price 4.956 for 60 shares. Position AVG Price was 4.983000, currency: USDT, rate: 0.999090, last updated rate on 2022-07-07T13:11:31Z, point value: 1.000000"
2022-07-07 15:23:36,1 227.21,1 228.71,+1.50,"Close short position for symbol BYBIT:APEUSDT at price 4.958 for 60 shares. Position AVG Price was 4.983000, currency: USDT, rate: 0.999090, last updated rate on 2022-07-07T13:11:31Z, point value: 1.000000"
2022-07-07 15:21:05,1 225.29,1 227.21,+1.92,"Close short position for symbol BYBIT:APEUSDT at price 4.967 for 120 shares. Position AVG Price was 4.983000, currency: USDT, rate: 0.999090, last updated rate on 2022-07-07T13:11:31Z, point value: 1.000000"
2022-07-07 15:16:50,1 224.93,1 225.29,+0.36,"Close short position for symbol BYBIT:APEUSDT at price 4.985 for 120 shares. Position AVG Price was 4.988000, currency: USDT, rate: 0.999090, last updated rate on 2022-07-07T13:11:31Z, point value: 1.000000"
2022-07-07 15:14:53,1 223.13,1 224.93,+1.80,"Close short position for symbol BYBIT:APEUSDT at price 5.001 for 120 shares. Position AVG Price was 5.016000, currency: USDT, rate: 0.999080, last updated rate on 2022-07-07T12:15:01Z, point value: 1.000000"
2022-07-07 15:11:19,1 219.53,1 223.13,+3.60,"Close short position for symbol BYBIT:APEUSDT at price 4.986 for 120 shares. Position AVG Price was 5.016000, currency: USDT, rate: 0.999080, last updated rate on 2022-07-07T12:15:01Z, point value: 1.000000"
2022-07-07 14:51:17,1 215.70,1 219.53,+3.84,"Close long position for symbol BYBIT:APEUSDT at price 5.017 for 240 shares. Position AVG Price was 5.001000, currency: USDT, rate: 0.999080, last updated rate on 2022-07-07T12:15:01Z, point value: 1.000000"
2022-07-07 14:36:46,1 215.70,1 215.70,0.00,"Close short position for symbol BYBIT:APEUSDT at price 5.013 for 240 shares. Position AVG Price was 5.013000, currency: USDT, rate: 0.999080, last updated rate on 2022-07-07T12:15:01Z, point value: 1.000000"
2022-07-07 14:33:44,1 219.29,1 215.70,-3.60,"Close long position for symbol BYBIT:APEUSDT at price 5.018 for 240 shares. Position AVG Price was 5.033000, currency: USDT, rate: 0.999080, last updated rate on 2022-07-07T12:15:01Z, point value: 1.000000"
2022-07-07 13:01:09,1 218.34,1 219.29,+0.96,"Close long position for symbol BYBIT:APEUSDT at price 4.990 for 240 shares. Position AVG Price was 4.986000, currency: USDT, rate: 0.998650, last updated rate on 2022-07-07T10:16:04Z, point value: 1.000000"
2022-07-07 12:47:44,1 207.55,1 218.34,+10.79,"Close short position for symbol BYBIT:APEUSDT at price 4.957 for 240 shares. Position AVG Price was 5.002000, currency: USDT, rate: 0.998650, last updated rate on 2022-07-07T10:16:04Z, point value: 1.000000"
2022-07-07 12:30:33,1 204.55,1 207.55,+3.00,"Close short position for symbol BYBIT:APEUSDT at price 5.013 for 120 shares. Position AVG Price was 5.038000, currency: USDT, rate: 0.998650, last updated rate on 2022-07-07T10:16:04Z, point value: 1.000000"
2022-07-07 12:01:37,1 200.00,1 204.55,+4.55,"Close short position for symbol BYBIT:APEUSDT at price 5.000 for 120 shares. Position AVG Price was 5.038000, currency: USDT, rate: 0.998630, last updated rate on 2022-07-07T09:16:11Z, point value: 1.000000"
