Time,Balance Before,Balance After,Profit,Action
2022-09-09 15:24:00,1 223.39,1 223.92,+0.53,"Close long position for symbol BYBIT:AVAXUSDT at price 20.100 for 30 shares. Position AVG Price was 20.082500, currency: USDT, rate: 1.000200, last updated rate on 2022-09-09T13:01:39Z, point value: 1.000000"
2022-09-09 15:21:12,1 220.92,1 223.39,+2.48,"Close long position for symbol BYBIT:AVAXUSDT at price 20.165 for 30 shares. Position AVG Price was 20.082500, currency: USDT, rate: 1.000200, last updated rate on 2022-09-09T13:01:39Z, point value: 1.000000"
2022-09-09 15:11:43,1 221.67,1 220.92,-0.75,"Close short position for symbol BYBIT:AVAXUSDT at price 20.100 for 30 shares. Position AVG Price was 20.075000, currency: USDT, rate: 1.000200, last updated rate on 2022-09-09T13:01:39Z, point value: 1.000000"
2022-09-09 15:10:43,1 223.17,1 221.67,-1.50,"Close long position for symbol BYBIT:AVAXUSDT at price 20.100 for 30 shares. Position AVG Price was 20.150000, currency: USDT, rate: 1.000200, last updated rate on 2022-09-09T13:01:39Z, point value: 1.000000"
2022-09-09 14:53:54,1 221.82,1 223.17,+1.35,"Close short position for symbol BYBIT:AVAXUSDT at price 20.265 for 30 shares. Position AVG Price was 20.310000, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:49:23,1 221.67,1 221.82,+0.15,"Close short position for symbol BYBIT:AVAXUSDT at price 20.305 for 30 shares. Position AVG Price was 20.310000, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:43:16,1 221.27,1 221.67,+0.39,"Close long position for symbol BYBIT:AVAXUSDT at price 20.340 for 37.5 shares. Position AVG Price was 20.329500, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:38:17,1 219.15,1 221.27,+2.12,"Close long position for symbol BYBIT:AVAXUSDT at price 20.390 for 7.5 shares. Position AVG Price was 20.107500, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:33:29,1 215.97,1 219.15,+3.19,"Close long position for symbol BYBIT:AVAXUSDT at price 20.320 for 15 shares. Position AVG Price was 20.107500, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:28:25,1 210.04,1 215.97,+5.93,"Close long position for symbol BYBIT:AVAXUSDT at price 20.305 for 30 shares. Position AVG Price was 20.107500, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 14:09:59,1 210.71,1 210.04,-0.68,"Close long position for symbol BYBIT:AVAXUSDT at price 20.085 for 120 shares. Position AVG Price was 20.090625, currency: USDT, rate: 1.000060, last updated rate on 2022-09-09T11:58:07Z, point value: 1.000000"
2022-09-09 13:58:12,1 213.12,1 210.71,-2.40,"Close short position for symbol BYBIT:AVAXUSDT at price 20.100 for 60 shares. Position AVG Price was 20.060000, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:56:43,1 215.82,1 213.12,-2.70,"Close long position for symbol BYBIT:AVAXUSDT at price 20.055 for 60 shares. Position AVG Price was 20.100000, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:55:44,1 215.52,1 215.82,+0.30,"Close short position for symbol BYBIT:AVAXUSDT at price 20.100 for 60 shares. Position AVG Price was 20.105000, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:47:16,1 217.32,1 215.52,-1.80,"Close short position for symbol BYBIT:AVAXUSDT at price 20.125 for 30 shares. Position AVG Price was 20.065000, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:42:28,1 218.37,1 217.32,-1.05,"Close long position for symbol BYBIT:AVAXUSDT at price 20.080 for 180 shares. Position AVG Price was 20.085833, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:35:37,1 217.84,1 218.37,+0.53,"Close short position for symbol BYBIT:AVAXUSDT at price 20.105 for 60 shares. Position AVG Price was 20.113750, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:30:08,1 214.32,1 217.84,+3.53,"Close short position for symbol BYBIT:AVAXUSDT at price 20.055 for 60 shares. Position AVG Price was 20.113750, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:19:30,1 216.98,1 214.32,-2.66,"Close short position for symbol BYBIT:LINKUSDT at price 7.987 for 152 shares. Position AVG Price was 7.969500, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 13:16:53,1 220.24,1 216.98,-3.27,"Close short position for symbol BYBIT:LINKUSDT at price 7.967 for 152 shares. Position AVG Price was 7.945500, currency: USDT, rate: 1.000140, last updated rate on 2022-09-09T11:02:02Z, point value: 1.000000"
2022-09-09 12:58:35,1 219.41,1 220.24,+0.84,"Close short position for symbol BYBIT:LINKUSDT at price 7.974 for 76 shares. Position AVG Price was 7.985000, currency: USDT, rate: 1.000250, last updated rate on 2022-09-09T09:58:29Z, point value: 1.000000"
2022-09-09 12:43:06,1 219.60,1 219.41,-0.19,"Close short position for symbol BYBIT:LINKUSDT at price 7.969 for 76 shares. Position AVG Price was 7.966500, currency: USDT, rate: 1.000250, last updated rate on 2022-09-09T09:58:29Z, point value: 1.000000"
2022-09-09 12:41:56,1 217.28,1 219.60,+2.32,"Close short position for symbol BYBIT:LINKUSDT at price 7.936 for 76 shares. Position AVG Price was 7.966500, currency: USDT, rate: 1.000250, last updated rate on 2022-09-09T09:58:29Z, point value: 1.000000"
2022-09-09 11:51:48,1 217.58,1 217.28,-0.30,"Close short position for symbol BYBIT:AVAXUSDT at price 20.130 for 30 shares. Position AVG Price was 20.120000, currency: USDT, rate: 1.000080, last updated rate on 2022-09-09T09:00:44Z, point value: 1.000000"
