Time,Balance Before,Balance After,Profit,Action
2022-08-17 17:50:36,1 235.76,1 236.79,+1.03,"Close short position for symbol BYBIT:AVAXUSDT at price 26.095 for 10 shares. Position AVG Price was 26.197500, currency: USDT, rate: 1.000470, last updated rate on 2022-08-17T14:56:49Z, point value: 1.000000"
2022-08-17 17:43:53,1 233.54,1 235.76,+2.23,"Close short position for symbol BYBIT:AVAXUSDT at price 25.995 for 11 shares. Position AVG Price was 26.197500, currency: USDT, rate: 1.000470, last updated rate on 2022-08-17T14:56:49Z, point value: 1.000000"
2022-08-17 17:38:50,1 231.59,1 233.54,+1.94,"Close short position for symbol BYBIT:AVAXUSDT at price 26.105 for 21 shares. Position AVG Price was 26.197500, currency: USDT, rate: 1.000470, last updated rate on 2022-08-17T14:56:49Z, point value: 1.000000"
2022-08-17 17:26:17,1 232.96,1 231.59,-1.37,"Close long position for symbol BYBIT:AVAXUSDT at price 26.220 for 21 shares. Position AVG Price was 26.285000, currency: USDT, rate: 1.000470, last updated rate on 2022-08-17T14:56:49Z, point value: 1.000000"
2022-08-17 12:15:13,1 232.54,1 232.96,+0.42,"Close long position for symbol BYBIT:AVAXUSDT at price 27.240 for 21 shares. Position AVG Price was 27.220000, currency: USDT, rate: 0.999970, last updated rate on 2022-08-17T09:53:19Z, point value: 1.000000"
2022-08-17 12:14:55,1 223.72,1 232.54,+8.82,"Close short position for symbol BYBIT:AVAXUSDT at price 27.220 for 42 shares. Position AVG Price was 27.430000, currency: USDT, rate: 0.999970, last updated rate on 2022-08-17T09:53:19Z, point value: 1.000000"
2022-08-17 11:51:25,1 224.66,1 223.72,-0.95,"Close long position for symbol BYBIT:AVAXUSDT at price 27.475 for 21 shares. Position AVG Price was 27.520000, currency: USDT, rate: 1.000220, last updated rate on 2022-08-17T08:56:37Z, point value: 1.000000"
2022-08-17 09:42:09,1 223.61,1 224.66,+1.05,"Close short position for symbol BYBIT:AVAXUSDT at price 27.255 for 21 shares. Position AVG Price was 27.305000, currency: USDT, rate: 1.000040, last updated rate on 2022-08-17T06:53:11Z, point value: 1.000000"
2022-08-17 09:29:12,1 223.51,1 223.61,+0.11,"Close short position for symbol BYBIT:AVAXUSDT at price 27.580 for 21 shares. Position AVG Price was 27.585000, currency: USDT, rate: 1.000040, last updated rate on 2022-08-17T06:53:11Z, point value: 1.000000"
2022-08-17 09:27:37,1 224.24,1 223.51,-0.74,"Close long position for symbol BYBIT:AVAXUSDT at price 27.585 for 21 shares. Position AVG Price was 27.620000, currency: USDT, rate: 1.000040, last updated rate on 2022-08-17T06:53:11Z, point value: 1.000000"
2022-08-17 09:27:05,1 219.31,1 224.24,+4.94,"Close short position for symbol BYBIT:AVAXUSDT at price 27.620 for 21 shares. Position AVG Price was 27.855000, currency: USDT, rate: 1.000040, last updated rate on 2022-08-17T06:53:11Z, point value: 1.000000"
2022-08-17 09:26:48,1 213.95,1 219.31,+5.36,"Close short position for symbol BYBIT:AVAXUSDT at price 27.600 for 21 shares. Position AVG Price was 27.855000, currency: USDT, rate: 1.000040, last updated rate on 2022-08-17T06:53:11Z, point value: 1.000000"
2022-08-16 18:33:11,1 214.06,1 213.95,-0.11,"Close short position for symbol BYBIT:AVAXUSDT at price 27.410 for 21 shares. Position AVG Price was 27.405000, currency: USDT, rate: 1.000240, last updated rate on 2022-08-16T15:55:01Z, point value: 1.000000"
2022-08-16 18:29:06,1 213.11,1 214.06,+0.95,"Close short position for symbol BYBIT:AVAXUSDT at price 27.505 for 42 shares. Position AVG Price was 27.527500, currency: USDT, rate: 1.000240, last updated rate on 2022-08-16T15:55:01Z, point value: 1.000000"
2022-08-16 15:08:16,1 211.95,1 213.11,+1.17,"Close short position for symbol BYBIT:AVAXUSDT at price 27.545 for 26 shares. Position AVG Price was 27.589808, currency: USDT, rate: 1.000150, last updated rate on 2022-08-16T12:57:52Z, point value: 1.000000"
2022-08-16 15:06:37,1 209.87,1 211.95,+2.08,"Close short position for symbol BYBIT:AVAXUSDT at price 27.510 for 26 shares. Position AVG Price was 27.589808, currency: USDT, rate: 1.000150, last updated rate on 2022-08-16T12:57:52Z, point value: 1.000000"
2022-08-16 14:56:50,1 208.72,1 209.87,+1.16,"Close short position for symbol BYBIT:AVAXUSDT at price 27.610 for 42 shares. Position AVG Price was 27.637500, currency: USDT, rate: 1.000250, last updated rate on 2022-08-16T11:56:43Z, point value: 1.000000"
2022-08-16 14:54:29,1 210.29,1 208.72,-1.58,"Close short position for symbol BYBIT:AVAXUSDT at price 27.705 for 21 shares. Position AVG Price was 27.630000, currency: USDT, rate: 1.000250, last updated rate on 2022-08-16T11:56:43Z, point value: 1.000000"
2022-08-16 14:50:22,1 210.71,1 210.29,-0.42,"Close short position for symbol BYBIT:AVAXUSDT at price 27.660 for 42 shares. Position AVG Price was 27.650000, currency: USDT, rate: 1.000250, last updated rate on 2022-08-16T11:56:43Z, point value: 1.000000"
2022-08-16 14:49:25,1 209.18,1 210.71,+1.53,"Close short position for symbol BYBIT:APEUSDT at price 6.269 for 180 shares. Position AVG Price was 6.277500, currency: USDT, rate: 1.000250, last updated rate on 2022-08-16T11:56:43Z, point value: 1.000000"
2022-08-16 13:45:44,1 207.61,1 209.18,+1.58,"Close short position for symbol BYBIT:APEUSDT at price 6.298 for 180 shares. Position AVG Price was 6.306750, currency: USDT, rate: 1.000240, last updated rate on 2022-08-16T10:56:08Z, point value: 1.000000"
