Time,Balance Before,Balance After,Profit,Action
2022-05-23 13:56:30,5 218.83,5 202.47,-16.36,"Close short position for symbol BINANCE:APEUSDT at price 8.1023 for 625 shares. Position AVG Price was 8.076104, currency: USDT, rate: 0.999110, last updated rate on 2022-05-23T11:17:14Z, point value: 1.000000"
2022-05-23 13:51:28,5 221.05,5 218.83,-2.22,"Close short position for symbol BINANCE:APEUSDT at price 8.0726 for 600 shares. Position AVG Price was 8.068900, currency: USDT, rate: 0.999110, last updated rate on 2022-05-23T11:17:14Z, point value: 1.000000"
2022-05-23 13:49:13,5 208.70,5 221.05,+12.35,"Close short position for symbol BINANCE:APEUSDT at price 8.0888 for 600 shares. Position AVG Price was 8.109400, currency: USDT, rate: 0.999110, last updated rate on 2022-05-23T11:17:14Z, point value: 1.000000"
2022-05-23 13:39:02,5 209.48,5 208.70,-0.78,"Close short position for symbol BINANCE:APEUSDT at price 8.0976 for 600 shares. Position AVG Price was 8.096300, currency: USDT, rate: 0.999110, last updated rate on 2022-05-23T11:17:14Z, point value: 1.000000"
2022-05-23 13:18:09,5 204.14,5 209.48,+5.33,"Close short position for symbol BINANCE:APEUSDT at price 8.1839 for 600 shares. Position AVG Price was 8.192800, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 13:17:10,5 214.27,5 204.14,-10.13,"Close long position for symbol BINANCE:APEUSDT at price 8.1918 for 600 shares. Position AVG Price was 8.208700, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 13:07:37,5 214.93,5 214.27,-0.66,"Close long position for symbol BINANCE:APEUSDT at price 8.1313 for 600 shares. Position AVG Price was 8.132400, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 13:04:58,5 216.25,5 214.93,-1.32,"Close long position for symbol BINANCE:APEUSDT at price 8.1279 for 600 shares. Position AVG Price was 8.130100, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 12:56:43,5 215.65,5 216.25,+0.60,"Close short position for symbol BINANCE:APEUSDT at price 8.0876 for 600 shares. Position AVG Price was 8.088600, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 12:53:19,5 228.36,5 215.65,-12.71,"Close short position for symbol BINANCE:APEUSDT at price 8.0788 for 600 shares. Position AVG Price was 8.057600, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 12:47:59,5 230.04,5 228.36,-1.68,"Close long position for symbol BINANCE:APEUSDT at price 8.1055 for 600 shares. Position AVG Price was 8.108300, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
2022-05-23 12:40:29,5 235.91,5 230.04,-5.87,"Close short position for symbol BINANCE:APEUSDT at price 8.1058 for 600 shares. Position AVG Price was 8.096000, currency: USDT, rate: 0.998980, last updated rate on 2022-05-23T10:15:06Z, point value: 1.000000"
