Time,Balance Before,Balance After,Profit,Action
2022-07-06 17:33:12,1 269.02,1 272.94,+3.93,"Close short position for symbol BYBIT:APEUSDT at price 4.937 for 60 shares. Position AVG Price was 5.002500, currency: USDT, rate: 0.998970, last updated rate on 2022-07-06T15:15:46Z, point value: 1.000000"
2022-07-06 17:33:00,1 264.85,1 269.02,+4.17,"Close short position for symbol BYBIT:APEUSDT at price 4.933 for 60 shares. Position AVG Price was 5.002500, currency: USDT, rate: 0.998970, last updated rate on 2022-07-06T15:15:46Z, point value: 1.000000"
2022-07-06 17:25:13,1 260.12,1 264.85,+4.74,"Close short position for symbol BYBIT:APEUSDT at price 4.963 for 120 shares. Position AVG Price was 5.002500, currency: USDT, rate: 0.998970, last updated rate on 2022-07-06T15:15:46Z, point value: 1.000000"
2022-07-06 17:06:16,1 255.02,1 260.12,+5.10,"Close short position for symbol BYBIT:APEUSDT at price 4.961 for 60 shares. Position AVG Price was 5.046000, currency: USDT, rate: 0.999050, last updated rate on 2022-07-06T14:15:05Z, point value: 1.000000"
2022-07-06 16:54:43,1 249.63,1 255.02,+5.39,"Close short position for symbol BYBIT:APEUSDT at price 5.001 for 120 shares. Position AVG Price was 5.046000, currency: USDT, rate: 0.999050, last updated rate on 2022-07-06T14:15:05Z, point value: 1.000000"
2022-07-06 16:43:10,1 252.98,1 249.63,-3.36,"Close short position for symbol BYBIT:APEUSDT at price 5.046 for 240 shares. Position AVG Price was 5.032000, currency: USDT, rate: 0.999050, last updated rate on 2022-07-06T14:15:05Z, point value: 1.000000"
2022-07-06 16:31:29,1 257.54,1 252.98,-4.56,"Close long position for symbol BYBIT:APEUSDT at price 5.049 for 240 shares. Position AVG Price was 5.068000, currency: USDT, rate: 0.999050, last updated rate on 2022-07-06T14:15:05Z, point value: 1.000000"
2022-07-06 16:23:19,1 252.98,1 257.54,+4.56,"Close long position for symbol BYBIT:APEUSDT at price 5.064 for 2880 shares. Position AVG Price was 5.062417, currency: USDT, rate: 0.999050, last updated rate on 2022-07-06T14:15:05Z, point value: 1.000000"
2022-07-06 16:07:48,1 235.24,1 252.98,+17.74,"Close long position for symbol BYBIT:APEUSDT at price 5.101 for 240 shares. Position AVG Price was 5.027000, currency: USDT, rate: 0.998840, last updated rate on 2022-07-06T13:08:20Z, point value: 1.000000"
2022-07-06 15:40:34,1 232.85,1 235.24,+2.40,"Close long position for symbol BYBIT:APEUSDT at price 4.987 for 240 shares. Position AVG Price was 4.977000, currency: USDT, rate: 0.998840, last updated rate on 2022-07-06T13:08:20Z, point value: 1.000000"
2022-07-06 15:37:24,1 235.24,1 232.85,-2.40,"Close long position for symbol BYBIT:APEUSDT at price 4.991 for 240 shares. Position AVG Price was 5.001000, currency: USDT, rate: 0.998840, last updated rate on 2022-07-06T13:08:20Z, point value: 1.000000"
2022-07-06 15:29:24,1 213.62,1 235.24,+21.62,"Close long position for symbol BYBIT:APEUSDT at price 5.022 for 245 shares. Position AVG Price was 4.933649, currency: USDT, rate: 0.998840, last updated rate on 2022-07-06T13:08:20Z, point value: 1.000000"
2022-07-06 15:10:43,1 208.46,1 213.62,+5.16,"Close long position for symbol BYBIT:APEUSDT at price 4.939 for 123 shares. Position AVG Price was 4.897000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:53:42,1 209.69,1 208.46,-1.22,"Close short position for symbol BYBIT:APEUSDT at price 4.897 for 245 shares. Position AVG Price was 4.892000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:52:38,1 212.38,1 209.69,-2.69,"Close long position for symbol BYBIT:APEUSDT at price 4.897 for 245 shares. Position AVG Price was 4.908000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:45:47,1 217.03,1 212.38,-4.65,"Close long position for symbol BYBIT:APEUSDT at price 4.894 for 245 shares. Position AVG Price was 4.913000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:43:17,1 220.21,1 217.03,-3.18,"Close short position for symbol BYBIT:APEUSDT at price 4.910 for 245 shares. Position AVG Price was 4.897000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:31:57,1 220.21,1 220.21,0.00,"Close short position for symbol BYBIT:APEUSDT at price 4.894 for 245 shares. Position AVG Price was 4.894000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:26:53,1 221.92,1 220.21,-1.71,"Close short position for symbol BYBIT:APEUSDT at price 4.893 for 245 shares. Position AVG Price was 4.886024, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:21:19,1 215.58,1 221.92,+6.34,"Close long position for symbol BYBIT:APEUSDT at price 4.878 for 122 shares. Position AVG Price was 4.826000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:21:00,1 211.03,1 215.58,+4.55,"Close long position for symbol BYBIT:APEUSDT at price 4.863 for 123 shares. Position AVG Price was 4.826000, currency: USDT, rate: 0.998980, last updated rate on 2022-07-06T12:12:05Z, point value: 1.000000"
2022-07-06 14:10:20,1 210.54,1 211.03,+0.49,"Close short position for symbol BYBIT:APEUSDT at price 4.852 for 245 shares. Position AVG Price was 4.854000, currency: USDT, rate: 0.998800, last updated rate on 2022-07-06T11:16:06Z, point value: 1.000000"
2022-07-06 14:06:05,1 212.50,1 210.54,-1.96,"Close long position for symbol BYBIT:APEUSDT at price 4.852 for 245 shares. Position AVG Price was 4.860000, currency: USDT, rate: 0.998800, last updated rate on 2022-07-06T11:16:06Z, point value: 1.000000"
2022-07-06 14:02:10,1 206.52,1 212.50,+5.98,"Close short position for symbol BYBIT:APEUSDT at price 4.857 for 113 shares. Position AVG Price was 4.910000, currency: USDT, rate: 0.998800, last updated rate on 2022-07-06T11:16:06Z, point value: 1.000000"
2022-07-06 14:01:56,1 200.53,1 206.52,+5.99,"Close short position for symbol BYBIT:APEUSDT at price 4.860 for 120 shares. Position AVG Price was 4.910000, currency: USDT, rate: 0.998800, last updated rate on 2022-07-06T11:16:06Z, point value: 1.000000"
2022-07-06 14:01:39,1 200.00,1 200.53,+0.53,"Close short position for symbol BYBIT:APEUSDT at price 4.866 for 12 shares. Position AVG Price was 4.910000, currency: USDT, rate: 0.998800, last updated rate on 2022-07-06T11:16:06Z, point value: 1.000000"
