Time,Balance Before,Balance After,Profit,Action
2022-08-26 20:22:52,1 218.63,1 221.68,+3.05,"Close short position for symbol BYBIT:MATICUSDT at price 0.7736 for 700 shares. Position AVG Price was 0.777950, currency: USDT, rate: 1.000070, last updated rate on 2022-08-26T18:04:31Z, point value: 1.000000"
2022-08-26 20:16:42,1 216.78,1 218.63,+1.86,"Close short position for symbol BYBIT:MATICUSDT at price 0.7753 for 700 shares. Position AVG Price was 0.777950, currency: USDT, rate: 1.000070, last updated rate on 2022-08-26T18:04:31Z, point value: 1.000000"
2022-08-26 13:09:24,1 216.67,1 216.78,+0.11,"Close long position for symbol BYBIT:MATICUSDT at price 0.7897 for 350 shares. Position AVG Price was 0.789400, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 13:09:03,1 214.05,1 216.67,+2.63,"Close short position for symbol BYBIT:MATICUSDT at price 0.7874 for 350 shares. Position AVG Price was 0.794900, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 13:07:56,1 213.03,1 214.05,+1.02,"Close short position for symbol BYBIT:MATICUSDT at price 0.7920 for 350 shares. Position AVG Price was 0.794900, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:58:11,1 212.68,1 213.03,+0.35,"Close short position for symbol BYBIT:MATICUSDT at price 0.7994 for 1400 shares. Position AVG Price was 0.799650, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:53:11,1 213.94,1 212.68,-1.26,"Close short position for symbol BYBIT:MATICUSDT at price 0.7994 for 700 shares. Position AVG Price was 0.797600, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:42:38,1 213.38,1 213.94,+0.56,"Close short position for symbol BYBIT:MATICUSDT at price 0.8018 for 800 shares. Position AVG Price was 0.802500, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:40:35,1 210.34,1 213.38,+3.04,"Close short position for symbol BYBIT:MATICUSDT at price 0.7987 for 800 shares. Position AVG Price was 0.802500, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:38:38,1 208.58,1 210.34,+1.76,"Close short position for symbol BYBIT:MATICUSDT at price 0.8005 for 400 shares. Position AVG Price was 0.804900, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-26 12:22:05,1 208.34,1 208.58,+0.24,"Close short position for symbol BYBIT:MATICUSDT at price 0.8045 for 1600 shares. Position AVG Price was 0.804650, currency: USDT, rate: 1.000170, last updated rate on 2022-08-26T10:15:32Z, point value: 1.000000"
2022-08-25 22:46:47,1 205.67,1 208.34,+2.67,"Close long position for symbol BYBIT:AVAXUSDT at price 23.195 for 12 shares. Position AVG Price was 22.972500, currency: USDT, rate: 0.999930, last updated rate on 2022-08-25T20:15:28Z, point value: 1.000000"
2022-08-25 22:44:46,1 203.66,1 205.67,+2.01,"Close long position for symbol BYBIT:AVAXUSDT at price 23.140 for 12 shares. Position AVG Price was 22.972500, currency: USDT, rate: 0.999930, last updated rate on 2022-08-25T20:15:28Z, point value: 1.000000"
2022-08-25 22:43:36,1 200.00,1 203.66,+3.66,"Close long position for symbol BYBIT:AVAXUSDT at price 23.125 for 24 shares. Position AVG Price was 22.972500, currency: USDT, rate: 0.999930, last updated rate on 2022-08-25T20:15:28Z, point value: 1.000000"
