Time,Balance Before,Balance After,Profit,Action
2022-08-19 08:40:59,1 240.01,1 240.64,+0.63,"Close short position for symbol BYBIT:MATICUSDT at price 0.7994 for 640 shares. Position AVG Price was 0.800380, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-19 08:40:50,1 240.13,1 240.01,-0.12,"Close short position for symbol BYBIT:MATICUSDT at price 0.8005 for 960 shares. Position AVG Price was 0.800380, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-19 08:40:26,1 235.42,1 240.13,+4.71,"Close long position for symbol BYBIT:MATICUSDT at price 0.7999 for 640 shares. Position AVG Price was 0.792540, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-19 08:40:13,1 225.95,1 235.42,+9.47,"Close long position for symbol BYBIT:MATICUSDT at price 0.8024 for 960 shares. Position AVG Price was 0.792540, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-19 08:39:16,1 214.94,1 225.95,+11.01,"Close short position for symbol BYBIT:MATICUSDT at price 0.7982 for 640 shares. Position AVG Price was 0.815400, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-19 08:37:28,1 211.04,1 214.94,+3.90,"Close short position for symbol BYBIT:MATICUSDT at price 0.8093 for 640 shares. Position AVG Price was 0.815400, currency: USDT, rate: 1.000000, last updated rate on 2022-08-19T05:55:23Z, point value: 1.000000"
2022-08-18 17:05:49,1 207.56,1 211.04,+3.48,"Close short position for symbol BYBIT:AVAXUSDT at price 25.475 for 24 shares. Position AVG Price was 25.620000, currency: USDT, rate: 0.999820, last updated rate on 2022-08-18T14:55:24Z, point value: 1.000000"
2022-08-18 17:05:29,1 204.80,1 207.56,+2.76,"Close short position for symbol BYBIT:AVAXUSDT at price 25.505 for 24 shares. Position AVG Price was 25.620000, currency: USDT, rate: 0.999820, last updated rate on 2022-08-18T14:55:24Z, point value: 1.000000"
2022-08-18 17:02:45,1 201.80,1 204.80,+3.00,"Close short position for symbol BYBIT:AVAXUSDT at price 25.585 for 24 shares. Position AVG Price was 25.710000, currency: USDT, rate: 0.999820, last updated rate on 2022-08-18T14:55:24Z, point value: 1.000000"
2022-08-18 16:55:21,1 198.20,1 201.80,+3.60,"Close short position for symbol BYBIT:AVAXUSDT at price 25.665 for 24 shares. Position AVG Price was 25.815000, currency: USDT, rate: 1.000000, last updated rate on 2022-08-18T13:58:15Z, point value: 1.000000"
2022-08-18 16:51:34,1 195.20,1 198.20,+3.00,"Close short position for symbol BYBIT:AVAXUSDT at price 25.780 for 24 shares. Position AVG Price was 25.905000, currency: USDT, rate: 1.000000, last updated rate on 2022-08-18T13:58:15Z, point value: 1.000000"
2022-08-18 15:31:17,1 200.00,1 195.20,-4.80,"Close long position for symbol BYBIT:AVAXUSDT at price 25.960 for 48 shares. Position AVG Price was 26.060000, currency: USDT, rate: 1.000000, last updated rate on 2022-08-18T12:58:08Z, point value: 1.000000"
