Time,Balance Before,Balance After,Profit,Action
2022-05-22 16:39:55,5 213.55,5 223.97,+10.43,"Close short position for symbol BINANCE:APEUSDT at price 8.0452 for 300 shares. Position AVG Price was 8.080000, currency: USDT, rate: 0.998570, last updated rate on 2022-05-22T14:18:45Z, point value: 1.000000"
2022-05-22 16:36:27,5 200.34,5 213.55,+13.21,"Close short position for symbol BINANCE:APEUSDT at price 8.0359 for 300 shares. Position AVG Price was 8.080000, currency: USDT, rate: 0.998570, last updated rate on 2022-05-22T14:18:45Z, point value: 1.000000"
2022-05-22 16:28:56,5 201.30,5 200.34,-0.96,"Close long position for symbol BINANCE:APEUSDT at price 8.0682 for 600 shares. Position AVG Price was 8.069800, currency: USDT, rate: 0.998570, last updated rate on 2022-05-22T14:18:45Z, point value: 1.000000"
2022-05-22 16:24:55,5 203.87,5 201.30,-2.58,"Close short position for symbol BINANCE:APEUSDT at price 8.0590 for 600 shares. Position AVG Price was 8.054700, currency: USDT, rate: 0.998570, last updated rate on 2022-05-22T14:18:45Z, point value: 1.000000"
2022-05-22 16:20:56,5 203.09,5 203.87,+0.78,"Close short position for symbol BINANCE:APEUSDT at price 8.0486 for 600 shares. Position AVG Price was 8.049900, currency: USDT, rate: 0.998570, last updated rate on 2022-05-22T14:18:45Z, point value: 1.000000"
2022-05-22 16:18:17,5 202.84,5 203.09,+0.25,"Close short position for symbol BINANCE:APEUSDT at price 8.0441 for 50 shares. Position AVG Price was 8.049100, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 16:12:57,5 214.57,5 202.84,-11.72,"Close long position for symbol BINANCE:APEUSDT at price 8.0445 for 600 shares. Position AVG Price was 8.064058, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 16:04:04,5 217.31,5 214.57,-2.75,"Close long position for symbol BINANCE:APEUSDT at price 8.0935 for 550 shares. Position AVG Price was 8.098500, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 16:02:15,5 216.87,5 217.31,+0.44,"Close long position for symbol BINANCE:APEUSDT at price 8.0711 for 550 shares. Position AVG Price was 8.070300, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 16:00:17,5 215.22,5 216.87,+1.65,"Close long position for symbol BINANCE:APEUSDT at price 8.0290 for 550 shares. Position AVG Price was 8.026000, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:52:28,5 201.16,5 215.22,+14.06,"Close short position for symbol BINANCE:APEUSDT at price 7.9906 for 550 shares. Position AVG Price was 8.016200, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:46:57,5 220.17,5 201.16,-19.01,"Close long position for symbol BINANCE:APEUSDT at price 8.0150 for 550 shares. Position AVG Price was 8.049600, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:35:45,5 233.24,5 220.17,-13.07,"Close short position for symbol BINANCE:APEUSDT at price 8.0493 for 550 shares. Position AVG Price was 8.025500, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:30:16,5 238.30,5 233.24,-5.05,"Close long position for symbol BINANCE:APEUSDT at price 8.0358 for 550 shares. Position AVG Price was 8.045000, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:19:11,5 244.39,5 238.30,-6.10,"Close short position for symbol BINANCE:APEUSDT at price 8.0461 for 550 shares. Position AVG Price was 8.035000, currency: USDT, rate: 0.998780, last updated rate on 2022-05-22T13:18:42Z, point value: 1.000000"
2022-05-22 15:17:10,5 239.40,5 244.39,+5.00,"Close short position for symbol BINANCE:APEUSDT at price 8.0254 for 550 shares. Position AVG Price was 8.034500, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 15:14:51,5 232.37,5 239.40,+7.03,"Close short position for symbol BINANCE:APEUSDT at price 8.0620 for 230 shares. Position AVG Price was 8.092600, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 15:10:30,5 219.78,5 232.37,+12.59,"Close short position for symbol BINANCE:APEUSDT at price 8.0532 for 320 shares. Position AVG Price was 8.092600, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 14:46:13,5 238.07,5 219.78,-18.29,"Close short position for symbol BINANCE:APEUSDT at price 8.0820 for 550 shares. Position AVG Price was 8.048700, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 14:36:31,5 245.26,5 238.07,-7.20,"Close long position for symbol BINANCE:APEUSDT at price 8.0458 for 550 shares. Position AVG Price was 8.058900, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 14:28:42,5 185.89,5 245.26,+59.37,"Close long position for symbol BINANCE:APEUSDT at price 8.0732 for 550 shares. Position AVG Price was 7.965100, currency: USDT, rate: 0.998630, last updated rate on 2022-05-22T12:18:01Z, point value: 1.000000"
2022-05-22 13:49:45,5 195.99,5 185.89,-10.11,"Close long position for symbol BINANCE:APEUSDT at price 7.9461 for 550 shares. Position AVG Price was 7.964500, currency: USDT, rate: 0.998550, last updated rate on 2022-05-22T11:16:31Z, point value: 1.000000"
2022-05-22 13:35:20,5 189.34,5 195.99,+6.65,"Close short position for symbol BINANCE:APEUSDT at price 7.9538 for 450 shares. Position AVG Price was 7.968600, currency: USDT, rate: 0.998550, last updated rate on 2022-05-22T11:16:31Z, point value: 1.000000"
2022-05-22 13:33:03,5 178.51,5 189.34,+10.83,"Close short position for symbol BINANCE:APEUSDT at price 7.9438 for 450 shares. Position AVG Price was 7.967900, currency: USDT, rate: 0.998550, last updated rate on 2022-05-22T11:16:31Z, point value: 1.000000"
2022-05-22 13:27:15,5 177.53,5 178.51,+0.99,"Close short position for symbol BINANCE:APEUSDT at price 8.0050 for 450 shares. Position AVG Price was 8.007200, currency: USDT, rate: 0.998550, last updated rate on 2022-05-22T11:16:31Z, point value: 1.000000"
2022-05-21 19:05:15,5 150.78,5 177.53,+26.74,"Close short position for symbol BINANCE:APEUSDT at price 8.0592 for 550 shares. Position AVG Price was 8.107882, currency: USDT, rate: 0.998740, last updated rate on 2022-05-21T16:17:43Z, point value: 1.000000"
2022-05-21 18:23:28,5 132.87,5 150.78,+17.92,"Close short position for symbol BINANCE:APEUSDT at price 8.1520 for 230 shares. Position AVG Price was 8.230000, currency: USDT, rate: 0.998740, last updated rate on 2022-05-21T16:17:43Z, point value: 1.000000"
2022-05-21 18:14:59,5 119.12,5 132.87,+13.74,"Close short position for symbol BINANCE:APEUSDT at price 8.1870 for 320 shares. Position AVG Price was 8.230000, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:11:01,5 130.49,5 119.12,-11.37,"Close short position for symbol BINANCE:APEUSDT at price 8.1965 for 550 shares. Position AVG Price was 8.175800, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:06:16,5 133.96,5 130.49,-3.46,"Close long position for symbol BINANCE:APEUSDT at price 8.1773 for 550 shares. Position AVG Price was 8.183600, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:04:02,5 149.12,5 133.96,-15.16,"Close short position for symbol BINANCE:APEUSDT at price 8.1718 for 550 shares. Position AVG Price was 8.144200, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:02:13,5 145.55,5 149.12,+3.57,"Close short position for symbol BINANCE:APEUSDT at price 8.1452 for 550 shares. Position AVG Price was 8.151700, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:01:07,5 146.42,5 145.55,-0.88,"Close short position for symbol BINANCE:APEUSDT at price 8.1653 for 550 shares. Position AVG Price was 8.163700, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 18:00:11,5 141.26,5 146.42,+5.16,"Close short position for symbol BINANCE:APEUSDT at price 8.1788 for 550 shares. Position AVG Price was 8.188200, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 17:51:49,5 156.59,5 141.26,-15.33,"Close long position for symbol BINANCE:APEUSDT at price 8.1847 for 550 shares. Position AVG Price was 8.212600, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 17:49:53,5 149.83,5 156.59,+6.76,"Close long position for symbol BINANCE:APEUSDT at price 8.1866 for 550 shares. Position AVG Price was 8.174300, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 17:47:53,5 125.23,5 149.83,+24.60,"Close long position for symbol BINANCE:APEUSDT at price 8.2025 for 230 shares. Position AVG Price was 8.095400, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
2022-05-21 17:38:00,5 113.08,5 125.23,+12.14,"Close long position for symbol BINANCE:APEUSDT at price 8.1334 for 320 shares. Position AVG Price was 8.095400, currency: USDT, rate: 0.998710, last updated rate on 2022-05-21T15:17:53Z, point value: 1.000000"
