Time,Balance Before,Balance After,Profit,Action
2022-08-14 19:01:32,1 275.23,1 283.12,+7.89,"Close short position for symbol BYBIT:APEUSDT at price 6.380 for 82.5 shares. Position AVG Price was 6.475571, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 19:00:51,1 270.39,1 275.23,+4.84,"Close short position for symbol BYBIT:APEUSDT at price 6.411 for 75 shares. Position AVG Price was 6.475571, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:56:10,1 265.12,1 270.39,+5.27,"Close short position for symbol BYBIT:APEUSDT at price 6.441 for 67.5 shares. Position AVG Price was 6.519000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:49:59,1 260.71,1 265.12,+4.41,"Close short position for symbol BYBIT:APEUSDT at price 6.467 for 45 shares. Position AVG Price was 6.565000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:47:56,1 252.97,1 260.71,+7.74,"Close short position for symbol BYBIT:APEUSDT at price 6.479 for 90 shares. Position AVG Price was 6.565000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:44:56,1 247.30,1 252.97,+5.67,"Close short position for symbol BYBIT:APEUSDT at price 6.533 for 90 shares. Position AVG Price was 6.596000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:37:10,1 250.18,1 247.30,-2.88,"Close long position for symbol BYBIT:APEUSDT at price 6.607 for 188 shares. Position AVG Price was 6.622340, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T16:31:02Z, point value: 1.000000"
2022-08-14 18:17:19,1 254.14,1 250.18,-3.96,"Close long position for symbol BYBIT:APEUSDT at price 6.608 for 180 shares. Position AVG Price was 6.630000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 18:15:36,1 254.68,1 254.14,-0.54,"Close short position for symbol BYBIT:APEUSDT at price 6.630 for 180 shares. Position AVG Price was 6.627000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 18:13:28,1 258.92,1 254.68,-4.23,"Close long position for symbol BYBIT:APEUSDT at price 6.629 for 180 shares. Position AVG Price was 6.652500, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 18:11:59,1 258.56,1 258.92,+0.36,"Close short position for symbol BYBIT:APEUSDT at price 6.653 for 180 shares. Position AVG Price was 6.655000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 18:04:55,1 258.20,1 258.56,+0.36,"Close long position for symbol BYBIT:APEUSDT at price 6.655 for 180 shares. Position AVG Price was 6.653000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 17:38:03,1 262.16,1 258.20,-3.96,"Close short position for symbol BYBIT:APEUSDT at price 6.654 for 180 shares. Position AVG Price was 6.632000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T15:32:07Z, point value: 1.000000"
2022-08-14 17:11:07,1 262.16,1 262.16,0.00,"Close long position for symbol BYBIT:APEUSDT at price 6.636 for 180 shares. Position AVG Price was 6.636000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T14:31:06Z, point value: 1.000000"
2022-08-14 16:55:07,1 265.76,1 262.16,-3.60,"Close short position for symbol BYBIT:APEUSDT at price 6.632 for 180 shares. Position AVG Price was 6.612000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T14:31:06Z, point value: 1.000000"
2022-08-14 16:48:31,1 268.91,1 265.76,-3.15,"Close long position for symbol BYBIT:APEUSDT at price 6.612 for 180 shares. Position AVG Price was 6.629500, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T14:31:06Z, point value: 1.000000"
2022-08-14 16:44:08,1 272.33,1 268.91,-3.42,"Close long position for symbol BYBIT:APEUSDT at price 6.624 for 180 shares. Position AVG Price was 6.643000, currency: USDT, rate: 1.000410, last updated rate on 2022-08-14T14:31:06Z, point value: 1.000000"
2022-08-14 16:30:00,1 275.39,1 272.33,-3.06,"Close long position for symbol BYBIT:APEUSDT at price 6.649 for 180 shares. Position AVG Price was 6.666000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T13:32:43Z, point value: 1.000000"
2022-08-14 16:04:10,1 276.20,1 275.39,-0.81,"Close short position for symbol BYBIT:APEUSDT at price 6.666 for 180 shares. Position AVG Price was 6.661500, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T13:32:43Z, point value: 1.000000"
2022-08-14 15:56:47,1 276.29,1 276.20,-0.09,"Close long position for symbol BYBIT:APEUSDT at price 6.659 for 180 shares. Position AVG Price was 6.659500, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T13:32:43Z, point value: 1.000000"
2022-08-14 15:37:35,1 275.03,1 276.29,+1.26,"Close short position for symbol BYBIT:APEUSDT at price 6.650 for 90 shares. Position AVG Price was 6.664000, currency: USDT, rate: 1.000190, last updated rate on 2022-08-14T13:32:43Z, point value: 1.000000"
2022-08-14 15:32:35,1 274.13,1 275.03,+0.90,"Close short position for symbol BYBIT:APEUSDT at price 6.672 for 180 shares. Position AVG Price was 6.677000, currency: USDT, rate: 1.000200, last updated rate on 2022-08-14T12:31:54Z, point value: 1.000000"
2022-08-14 15:28:46,1 273.68,1 274.13,+0.45,"Close short position for symbol BYBIT:APEUSDT at price 6.675 for 180 shares. Position AVG Price was 6.677500, currency: USDT, rate: 1.000200, last updated rate on 2022-08-14T12:31:54Z, point value: 1.000000"
2022-08-14 15:26:47,1 269.09,1 273.68,+4.59,"Close short position for symbol BYBIT:APEUSDT at price 6.640 for 45 shares. Position AVG Price was 6.742000, currency: USDT, rate: 1.000200, last updated rate on 2022-08-14T12:31:54Z, point value: 1.000000"
2022-08-14 15:25:50,1 264.05,1 269.09,+5.04,"Close short position for symbol BYBIT:APEUSDT at price 6.686 for 90 shares. Position AVG Price was 6.742000, currency: USDT, rate: 1.000200, last updated rate on 2022-08-14T12:31:54Z, point value: 1.000000"
2022-08-14 15:11:06,1 266.57,1 264.05,-2.52,"Close long position for symbol BYBIT:APEUSDT at price 6.742 for 180 shares. Position AVG Price was 6.756000, currency: USDT, rate: 1.000200, last updated rate on 2022-08-14T12:31:54Z, point value: 1.000000"
