Time,Balance Before,Balance After,Profit,Action
2022-08-12 16:39:26,1 279.54,1 280.65,+1.10,"Close long position for symbol BYBIT:AVAXUSDT at price 28.935 for 21 shares. Position AVG Price was 28.882500, currency: USDT, rate: 1.000590, last updated rate on 2022-08-12T14:29:43Z, point value: 1.000000"
2022-08-12 16:34:02,1 275.50,1 279.54,+4.04,"Close long position for symbol BYBIT:AVAXUSDT at price 29.075 for 21 shares. Position AVG Price was 28.882500, currency: USDT, rate: 1.000590, last updated rate on 2022-08-12T14:29:43Z, point value: 1.000000"
2022-08-12 16:23:02,1 270.98,1 275.50,+4.52,"Close long position for symbol BYBIT:AVAXUSDT at price 29.020 for 21 shares. Position AVG Price was 28.805000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 16:18:49,1 273.92,1 270.98,-2.94,"Close short position for symbol BYBIT:AVAXUSDT at price 28.805 for 42 shares. Position AVG Price was 28.735000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 16:16:02,1 274.13,1 273.92,-0.21,"Close long position for symbol BYBIT:AVAXUSDT at price 28.735 for 42 shares. Position AVG Price was 28.740000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 16:08:03,1 276.76,1 274.13,-2.63,"Close short position for symbol BYBIT:AVAXUSDT at price 28.685 for 42 shares. Position AVG Price was 28.622500, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 16:04:35,1 274.87,1 276.76,+1.89,"Close short position for symbol BYBIT:AVAXUSDT at price 28.670 for 42 shares. Position AVG Price was 28.715000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 15:54:43,1 278.65,1 274.87,-3.78,"Close long position for symbol BYBIT:AVAXUSDT at price 28.745 for 42 shares. Position AVG Price was 28.835000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 15:50:46,1 281.07,1 278.65,-2.42,"Close short position for symbol BYBIT:AVAXUSDT at price 28.830 for 21 shares. Position AVG Price was 28.715000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 15:50:24,1 281.80,1 281.07,-0.74,"Close long position for symbol BYBIT:AVAXUSDT at price 28.715 for 21 shares. Position AVG Price was 28.750000, currency: USDT, rate: 1.000620, last updated rate on 2022-08-12T13:31:38Z, point value: 1.000000"
2022-08-12 14:07:54,1 283.80,1 281.80,-2.00,"Close short position for symbol BYBIT:AVAXUSDT at price 28.465 for 21 shares. Position AVG Price was 28.370000, currency: USDT, rate: 1.000550, last updated rate on 2022-08-12T11:32:38Z, point value: 1.000000"
2022-08-12 13:31:46,1 281.49,1 283.80,+2.31,"Close short position for symbol BYBIT:AVAXUSDT at price 28.425 for 21 shares. Position AVG Price was 28.535000, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 13:30:24,1 279.39,1 281.49,+2.10,"Close short position for symbol BYBIT:AVAXUSDT at price 28.435 for 21 shares. Position AVG Price was 28.535000, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 13:01:36,1 281.80,1 279.39,-2.42,"Close short position for symbol BYBIT:AVAXUSDT at price 28.500 for 21 shares. Position AVG Price was 28.385000, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 12:58:40,1 280.54,1 281.80,+1.26,"Close short position for symbol BYBIT:AVAXUSDT at price 28.440 for 21 shares. Position AVG Price was 28.500000, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 12:54:54,1 278.98,1 280.54,+1.56,"Close short position for symbol BYBIT:AVAXUSDT at price 28.550 for 16 shares. Position AVG Price was 28.647715, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 12:53:19,1 276.69,1 278.98,+2.28,"Close short position for symbol BYBIT:AVAXUSDT at price 28.505 for 16 shares. Position AVG Price was 28.647715, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 12:42:13,1 274.74,1 276.69,+1.96,"Close short position for symbol BYBIT:AVAXUSDT at price 28.610 for 10 shares. Position AVG Price was 28.805625, currency: USDT, rate: 1.000360, last updated rate on 2022-08-12T10:27:45Z, point value: 1.000000"
2022-08-12 12:28:58,1 271.05,1 274.74,+3.69,"Close short position for symbol BYBIT:AVAXUSDT at price 28.630 for 21 shares. Position AVG Price was 28.805625, currency: USDT, rate: 1.000380, last updated rate on 2022-08-12T09:28:10Z, point value: 1.000000"
2022-08-12 12:19:54,1 268.08,1 271.05,+2.97,"Close short position for symbol BYBIT:AVAXUSDT at price 28.735 for 21 shares. Position AVG Price was 28.876250, currency: USDT, rate: 1.000380, last updated rate on 2022-08-12T09:28:10Z, point value: 1.000000"
2022-08-12 12:11:18,1 264.46,1 268.08,+3.62,"Close short position for symbol BYBIT:AVAXUSDT at price 28.765 for 21 shares. Position AVG Price was 28.937500, currency: USDT, rate: 1.000380, last updated rate on 2022-08-12T09:28:10Z, point value: 1.000000"
2022-08-12 12:03:30,1 266.45,1 264.46,-2.00,"Close long position for symbol BYBIT:AVAXUSDT at price 28.945 for 21 shares. Position AVG Price was 29.040000, currency: USDT, rate: 1.000380, last updated rate on 2022-08-12T09:28:10Z, point value: 1.000000"
